district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr,house_age
Polonnaruwa,Polonnaruwa Central,14,5,4,112,2,False,False,Pipe-borne,Single phase,1,2022,16236332,4
Matale,Matale Central,26,7,5,250,2,True,False,Both,Single phase,3,1987,33907509,39
Mullaitivu,Mullaitivu Central,7,3,2,77,2,True,True,Well,Single phase,1,1988,5954312,38
Anuradhapura,New Town,2,2,2,39,1,True,True,Both,Three phase,2,2024,5177534,2
Batticaloa,Batticaloa Town,20,5,4,117,1,True,True,Well,Single phase,1,1995,20182409,31
Mullaitivu,Mullaitivu Central,23,7,5,232,1,True,False,Well,Three phase,3,2021,23615818,5
Kalutara,Beruwala,19,7,5,247,2,True,True,Pipe-borne,Three phase,2,1997,38172705,29
Ratnapura,Kuruwita,3,2,1,35,2,False,False,Pipe-borne,Single phase,1,1990,4234524,36
Jaffna,Chunnakam,8,3,3,55,1,True,True,Both,Single phase,1,1990,10184076,36
Badulla,Badulla Town,7,3,2,89,0,False,False,Well,Single phase,1,2023,8733878,3
Vavuniya,Vavuniya Central,43,6,5,250,3,False,False,Pipe-borne,Single phase,3,2001,37541652,25
Mannar,Mannar Central,25,5,4,250,2,True,True,Both,Single phase,2,2016,32837599,10
Polonnaruwa,Polonnaruwa Central,22,7,5,250,3,False,False,Well,Single phase,3,1989,26636331,37
Vavuniya,Vavuniya Central,3,1,1,49,0,True,False,Both,Single phase,1,2004,3877762,22
Kilinochchi,Kilinochchi Central,4,1,1,36,0,False,False,Well,Three phase,1,2017,4464475,9
Hambantota,Hambantota Town,2,3,3,35,0,False,False,Both,Three phase,1,2017,3641135,9
Polonnaruwa,Polonnaruwa Central,3,2,2,38,3,True,False,Both,Three phase,1,1987,4961885,39
Hambantota,Hambantota Town,11,5,4,139,2,True,True,Both,Three phase,2,2010,16148863,16
Puttalam,Puttalam Central,10,5,5,129,1,True,True,Pipe-borne,Three phase,2,2007,12953402,19
Matale,Matale Central,11,4,3,67,1,False,False,Well,Single phase,1,1990,11191478,36
Polonnaruwa,Polonnaruwa Central,37,7,5,250,1,True,True,Pipe-borne,Single phase,2,2021,38660991,5
Vavuniya,Vavuniya Central,31,5,5,250,1,False,False,Both,Single phase,3,2023,35621391,3
Ratnapura,Ratnapura Town,3,2,1,35,1,True,False,Both,Three phase,1,2005,3367764,21
Kilinochchi,Kilinochchi Central,2,1,1,57,1,False,True,Well,Three phase,2,2008,3100467,18
Ratnapura,Pelmadulla,12,6,5,134,2,False,True,Both,Single phase,1,2013,13965760,13
Kandy,Kandy City,6,3,3,35,0,False,True,Both,Single phase,1,2013,9217194,13
Mannar,Mannar Central,10,4,3,99,0,False,False,Both,Single phase,2,2016,9803312,10
Kilinochchi,Kilinochchi Central,17,7,5,168,2,True,False,Pipe-borne,Three phase,2,1996,18607482,30
Gampaha,Ja-Ela,8,5,4,74,0,False,False,Well,Single phase,1,2023,12456054,3
Ampara,Ampara Central,10,3,3,101,0,True,False,Both,Single phase,2,1993,10655693,33
Badulla,Bandarawela,21,6,5,246,2,True,False,Well,Three phase,2,2023,29116082,3
Anuradhapura,Nuwaragam Palatha,25,4,4,250,1,True,False,Both,Single phase,3,2009,32001823,17
Jaffna,Jaffna Town,10,5,4,107,1,True,True,Both,Three phase,2,1987,13655226,39
Trincomalee,Nilaveli,9,4,3,39,1,False,False,Well,Single phase,1,2001,8504760,25
Colombo,Narahenpita,2,3,2,61,1,False,True,Well,Single phase,1,1989,7310084,37
Monaragala,Monaragala Central,12,4,4,153,0,True,True,Well,Three phase,2,1990,14849576,36
Trincomalee,Uppuveli,12,5,5,127,0,True,True,Pipe-borne,Single phase,1,1988,17118055,38
Matale,Matale Central,2,3,3,37,2,False,False,Pipe-borne,Three phase,2,2007,5019219,19
Kandy,Peradeniya,4,3,2,35,0,False,True,Pipe-borne,Three phase,1,2022,9262954,4
Batticaloa,Batticaloa Town,11,2,2,117,0,True,False,Both,Single phase,1,1986,12437702,40
Vavuniya,Vavuniya Central,9,3,2,74,0,True,False,Well,Single phase,1,1987,7996775,39
Galle,Unawatuna,2,3,2,36,1,False,True,Well,Three phase,2,2010,4343964,16
Matara,Matara Town,14,7,5,187,3,True,True,Both,Single phase,2,2006,26960611,20
Polonnaruwa,Polonnaruwa Central,31,6,5,247,2,False,True,Well,Single phase,2,1999,30619562,27
Ampara,Ampara Central,12,3,2,116,1,False,False,Pipe-borne,Single phase,1,2020,13232214,6
Vavuniya,Vavuniya Central,6,4,3,69,0,False,False,Pipe-borne,Three phase,1,2017,6213452,9
Mullaitivu,Mullaitivu Central,8,1,1,103,1,False,False,Pipe-borne,Single phase,2,2022,10441484,4
Puttalam,Puttalam Central,35,7,5,250,2,True,False,Well,Single phase,2,2022,33062592,4
Ampara,Ampara Central,50,4,3,250,1,False,False,Both,Single phase,2,1995,41428803,31
Kalutara,Panadura,8,3,3,69,2,False,False,Well,Three phase,1,2021,10243978,5
Puttalam,Puttalam Central,13,5,4,116,2,True,False,Well,Single phase,1,2022,15351277,4
Badulla,Hali Ela,2,3,2,39,0,True,False,Pipe-borne,Three phase,2,1999,2597156,27
Badulla,Hali Ela,14,7,5,159,1,False,False,Pipe-borne,Three phase,1,1994,18306431,32
Badulla,Hali Ela,8,2,1,80,1,True,True,Pipe-borne,Single phase,2,1989,10830571,37
Batticaloa,Batticaloa Town,3,1,1,35,1,True,False,Well,Single phase,2,1989,4211538,37
Galle,Karapitiya,12,4,3,130,2,False,False,Pipe-borne,Single phase,1,2024,21622710,2
Mannar,Mannar Central,5,3,3,52,1,True,False,Both,Three phase,1,2008,3512891,18
